=== LONG START 2026-06-27T08:00:04+09:00 menu=1 max=7200s ===
Standard 5-minute test of 1: Bus=0x87:00 DevId=0x6860   16GB Radeon Instinct MI25 (RADV VEGA10)
      1 iteration. Passed  0.0871 seconds  written:   12.0GB 372.5GB/sec        checked:   15.0GB 273.1GB/sec
  61560 iteration. Passed 30.0222 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.5GB/sec
  61830 iteration. Passed 30.0232 seconds  written: 3240.0GB 267.1GB/sec        checked: 4050.0GB 226.4GB/sec
  62100 iteration. Passed 30.0502 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.3GB/sec
  62370 iteration. Passed 30.0368 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.3GB/sec
  62640 iteration. Passed 30.0267 seconds  written: 3240.0GB 267.2GB/sec        checked: 4050.0GB 226.3GB/sec
  62910 iteration. Passed 30.0747 seconds  written: 3240.0GB 266.1GB/sec        checked: 4050.0GB 226.3GB/sec
  63180 iteration. Passed 30.0327 seconds  written: 3240.0GB 266.8GB/sec        checked: 4050.0GB 226.4GB/sec
  63450 iteration. Passed 30.0675 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.1GB/sec
  63720 iteration. Passed 30.0761 seconds  written: 3240.0GB 266.3GB/sec        checked: 4050.0GB 226.1GB/sec
  63990 iteration. Passed 30.0637 seconds  written: 3240.0GB 266.6GB/sec        checked: 4050.0GB 226.1GB/sec
  64260 iteration. Passed 30.0271 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.4GB/sec
  64530 iteration. Passed 30.0480 seconds  written: 3240.0GB 266.9GB/sec        checked: 4050.0GB 226.2GB/sec
=== LONG END 2026-06-27T10:00:07+09:00 rc=124 ===
